gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),29.85,29.85,No
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),56.95,1889.50,No
Male,0,No,No,2,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),53.85,108.15,Yes
Male,0,No,No,45,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,42.30,1840.75,No
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.70,151.65,Yes
Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.50,Yes
Male,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.10,1949.40,Yes
Female,1,Yes,Yes,10,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,29.75,301.90,No
Male,1,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),104.80,3046.05,No
Female,0,No,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),56.95,3487.95,No
Female,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,44.10,587.45,No
Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,52.55,2020.10,No
Female,0,No,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),87.35,4797.25,No
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.85,724.90,Yes
Female,1,Yes,Yes,70,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),29.60,2032.50,No
Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,74.40,316.30,Yes
Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),49.85,2679.80,No
Female,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,29.20,1431.75,No
Female,0,Yes,Yes,6,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.65,274.85,No
Male,1,No,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,79.80,4749.90,No
