tenure,PhoneService,Contract_One year,Contract_Two year,TotalCharges,PaperlessBilling,MonthlyCharges,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaymentMethod_Credit card (automatic),gender,Partner,Dependents,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,InternetService_Fiber optic,InternetService_No,SeniorCitizen
12,1,0,0,590.25,1,49.19,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
24,1,1,0,1180.50,0,49.19,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1
1,1,0,0,49.19,1,49.19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,1,0,1,1770.75,0,49.19,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
6,1,0,0,295.13,1,49.19,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
18,1,1,0,885.38,1,49.19,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
48,1,0,1,2361.00,0,49.19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1,0,0,147.56,1,49.19,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
60,1,0,1,2951.25,0,49.19,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
9,1,0,0,442.69,1,49.19,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
30,1,1,0,1475.63,0,49.19,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2,1,0,0,98.38,1,49.19,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0
72,1,0,1,3541.50,0,49.19,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0
15,1,1,0,737.81,1,49.19,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
42,1,0,1,2065.88,0,49.19,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
